filename,size,time
195752.svg,22079,48.6434439990262
182440.svg,34152,86.74736299872166
12678.svg,16302,42.605675998856896
31643.svg,17306,32.474507999722846
134818.svg,22174,32.48819400141656
68596.svg,20801,33.581644000150845
29824.svg,30916,33.122177999757696
94466.svg,49338,80.84791399960523
74363.svg,31137,68.57667799886258
162984.svg,20076,64.51764499979618
4230.svg,19040,47.02573799841048
30944.svg,10821,18.8463070007856
168645.svg,28388,58.039556999574415
83226.svg,18289,15.83525699970778
112749.svg,11348,31.150055001489818
190255.svg,10120,19.881636000718572
28201.svg,29146,60.64592400070978
198201.svg,31544,76.39988899973105
148366.svg,33202,83.70340199871862
91601.svg,39444,96.06556800099497
185866.svg,36076,70.66800599932321
74336.svg,48028,141.98137699895597
74413.svg,10840,13.084607999189757
156586.svg,15587,22.505187000206206
185881.svg,28666,70.64869899841142
41267.svg,15906,23.066143001415185
85581.svg,43988,96.40589899936458
117197.svg,29837,78.66372199896432
177019.svg,29746,44.3418049999309
139557.svg,44174,74.5675679991109
17013.svg,31084,160.66401600073732
136378.svg,24146,30.170449999786797
197816.svg,14567,34.6529210000881
180149.svg,10456,29.104803999871365
73362.svg,20505,14.31856199997128
33458.svg,15830,19.767341000260785
193366.svg,14592,31.326486998295877
13128.svg,10623,20.710716999019496
40846.svg,11508,25.281674999860115
44946.svg,44589,65.54173299991817
47717.svg,19080,20.96960499875422
154195.svg,21585,60.32525000046007
164662.svg,31576,77.85845599937602
156573.svg,26550,61.214605999339256
156778.svg,15720,39.69474400037143
44541.svg,35298,83.37238800049818
68168.svg,42663,57.21348199949716
155577.svg,46175,61.33250700077042
61728.svg,47346,49.81632299859484
52028.svg,10160,21.61646300010034
186962.svg,39233,104.13881100066646
20556.svg,12512,306.7521159991884
39714.svg,22690,62.15352300023369
189740.svg,15651,43.62480400050117
95887.svg,44067,81.99771900035557
108485.svg,17453,26.25720200012438
13872.svg,17064,36.41878600137716
200606.svg,16789,30.568991000109236
130753.svg,31821,61.10827500015148
27890.svg,39361,54.54686100165418
186620.svg,12284,26.3677099992492
85060.svg,11582,10.542471000007936
201242.svg,44957,87.81162700142886
11286.svg,22188,63.48151400015922
32121.svg,10172,31.912299999021343
67043.svg,12024,32.656972000040696
6408.svg,28156,51.8722640008491
117806.svg,35653,50.22069400001783
31473.svg,44974,60.444284999903175
191819.svg,15198,29.148395999072818
104629.svg,30433,68.93036399924313
2662.svg,48476,330.6368700013991
49494.svg,19118,77.74378900103329
138317.svg,21083,29.241711999929976
139980.svg,25411,42.0901050001703
196154.svg,15339,30.37821199905011
142024.svg,25837,40.30672599947138
28682.svg,28714,32.503292999535915
92433.svg,40691,175.78897600105847
179331.svg,10428,46.4747410005657
145751.svg,35035,53.05923900050402
65310.svg,42571,89.32775200082688
65135.svg,20167,26.99241600021196
102862.svg,22232,32.45610399972065
55440.svg,12257,23.914440000226023
115081.svg,44301,121.09333499938657
91949.svg,21044,50.630044999707025
2282.svg,34580,100.6942940002773
42329.svg,39290,50.75164399931964
178685.svg,19911,36.971896999602905
119577.svg,12708,35.056479999184376
116609.svg,10470,23.65906899831316
199183.svg,33121,46.06714300098247
40464.svg,24176,198.5159100004239
153486.svg,19717,136.87088400001812
147760.svg,22400,64.15728699903411
