,filename,size,parse_time,reify_time,mask_time,serialize_time
242,5769.svg,13367,36.74459799981378,162.92213199994876,558.8262159999431,21.20060399988688
243,67165.svg,34381,91.60178799993446,197.21415300000444,627.1147719999135,55.94453599996996
244,32805.svg,16131,33.617231000107495,97.01533999987078,531.1878919999344,21.061462000034226
245,170518.svg,42203,81.27146900005755,194.88368499992248,628.2576940000126,52.77227400006268
246,23868.svg,21762,38.33539400011432,190.664882999954,544.7571290001179,26.037971000050675
247,116418.svg,18838,37.66319800001838,105.34894900001746,542.7277480000612,26.851123000142252
248,77135.svg,26883,53.365401000064594,258.80134299995916,576.4464899998529,35.54486999996698
249,110957.svg,34900,391.74178700000084,263.81777699998565,839.5095460000448,113.85726800017437
250,202274.svg,42004,82.46725000003607,111.01601900008973,626.4641369998571,53.68566400011332
251,130796.svg,13839,23.397180000074513,145.8310650000385,533.2438630000524,18.72673599996233
252,72171.svg,35181,35.54054199980783,263.8324049999028,559.6644140000535,29.7728929999721
253,188144.svg,41009,104.47156800000812,182.68419700007144,642.3867340001834,65.01652599990848
254,2741.svg,46493,144.4473700000799,112.56574599997293,697.4271090000457,75.97022899994954
255,175100.svg,38826,124.00369099987074,145.18749299986666,712.6189099999465,85.9739620000255
256,108489.svg,14710,25.877559000036854,55.66846700003225,514.9039240000093,16.22664999990775
257,4867.svg,41218,88.30777599996509,149.39890200002992,610.3045039999415,53.463514999975814
258,110891.svg,27512,217.38677100006498,207.64810699984082,741.4220569999088,92.12991200001852
259,186249.svg,46189,54.04936800005089,850.3476599998976,594.5353449999402,38.61225499986176
260,137236.svg,37827,63.7650000001031,636.7012900000191,602.1424880000268,44.364324000071065
261,153269.svg,11078,66.07585999995536,51.90381900001739,569.4105430000036,32.79518299996198
262,150963.svg,23328,52.731076000100074,99.40449800001261,605.1273569999012,34.31926200005364
263,99530.svg,37722,89.1008400001283,1324.751704999926,682.822471999998,66.52898400011509
264,160981.svg,48118,112.90704999987611,409.0593109999645,638.2797220001066,63.04860099999132
265,169792.svg,19224,54.51528599996891,63.27125000007072,567.4961590000294,33.4272429995508
266,136785.svg,34321,89.80748000021777,45.719826000095054,615.8609949998208,53.98123000031774
267,152295.svg,49810,118.86877300003107,224.7371399998883,768.4233930003757,78.96186100015257
268,26398.svg,42429,489.42999500013684,115.99317900027017,657.7495680003267,64.3486489998395
269,19286.svg,31860,66.36804100025984,335.29909400022007,611.4329580000231,44.37539499986087
270,81540.svg,37200,137.07041099996786,120.56754100012768,684.2326569999386,72.82454599999255
271,95686.svg,16208,26.933647000078054,79.84893000002558,519.7473529997296,17.140600000402628
272,29385.svg,24337,47.42178000014974,266.928413000187,572.6193239997883,28.84448499980863
273,82855.svg,26674,47.96382100039409,55.86061800022435,583.2462210000813,39.31859499971324
274,188507.svg,43008,136.94019600006868,188.4997559996009,659.0624589998697,67.55889199985177
275,144879.svg,22261,88.14580099988234,37.03063800003292,614.4727709997824,55.085598999994545
276,92096.svg,42678,107.80550400022548,309.8432880001383,684.8501899999064,74.52650000004724
277,166396.svg,45916,119.45404400012194,40.764758000022994,666.3064479998866,71.7119509999975
278,183557.svg,10962,55.30137599998852,21.23227299989594,561.770979999892,35.72571100039568
279,141995.svg,33314,71.78838499976337,29.182852000303683,582.5250540001434,40.49671300026603
280,89152.svg,14673,60.65341199973773,63.058649999675254,535.6678359999023,24.27727699978277
281,25097.svg,14259,27.504491999934544,85.7587569998941,515.5853369997203,16.57422400012365
282,102853.svg,17316,31.60754700002144,130.07802599986462,532.7901289997499,21.32856600019295
283,60636.svg,19970,49.39409400003569,0.7599499999741965,562.4128190002011,30.365308999989793
284,2760.svg,46587,150.8379709998735,118.72229699974923,757.1598770000492,92.44966400001431
285,179546.svg,18365,42.556299999887415,88.40717300017786,544.4419649998054,24.19979099977354
286,93948.svg,27719,58.9981150001222,90.83192799971584,591.7506630003118,41.170922000219434
287,68695.svg,35209,115.74108500008151,146.88812399981543,668.1791840001097,67.90586600027382
288,28393.svg,13986,35.39268300028198,40.371978000166564,530.9555740000178,23.300997999740503
289,32124.svg,12445,31.201171999782673,130.70701099968574,538.1381069996678,21.267279999847233
290,86678.svg,49093,115.13845999979821,69.71380999993926,679.629370999919,75.75259899977027
291,186828.svg,20678,36.16010899986577,111.56868000034592,541.9662240001344,24.76454299994657
292,168422.svg,21982,64.01922800023385,25.05474999998114,562.8179920004186,35.253311000360554
293,3079.svg,27306,72.00768800021251,118.23756400008278,625.31647600008,44.839298999704624
294,37850.svg,20861,35.571691000313876,97.4929690000863,555.1654340001733,24.09410200016282
295,30751.svg,31334,594.2446789999849,144.89160599987372,834.4934509996165,126.76685299993551
296,39754.svg,18091,25.309058999937406,147.52221900016593,522.3378700002286,14.915079999809677
297,184894.svg,23764,55.59215300036158,99.03836800003774,561.4108319996376,32.87261900004523
298,95145.svg,34495,39.338812999631045,792.4233270000514,574.5844240000224,33.70260199972108
299,57038.svg,21527,38.950331000251026,64.37795400006507,542.0731050003269,26.57989199997246
300,66522.svg,27472,34.64140899995982,95.82006900018314,533.65405500017,21.820270999796776
301,192954.svg,11818,24.38649199984866,102.09857899963026,517.5966640003935,15.976929999851563
302,36178.svg,31608,79.14769000035449,50.20178399990982,602.8222469999491,48.08384699981616
303,55285.svg,24987,61.567842999920686,70.03588499992475,577.1242860000712,36.88792899993132
304,62799.svg,42617,403.44803700008924,75.2119999997376,676.6488600001139,73.69852099964191
305,46740.svg,25921,38.80092999997942,164.9139720002495,555.9155260002626,26.749159999781114
306,15614.svg,18042,31.72227400000338,105.42619500029105,538.882287999968,21.26953400011189
307,88211.svg,45768,87.17031400010455,455.9019119997174,651.9924999997784,57.229976000144234
308,73402.svg,27874,108.68736500015075,170.03493299989714,670.3076409999085,60.73889199979021
309,112776.svg,11189,16.142700999807857,69.27259799977037,503.27343800017843,10.434744999656687
310,135191.svg,40040,80.06666000028417,33.94895500014172,608.1619199999295,52.713463000145566
311,189675.svg,27626,55.76136200033943,298.7512260001495,598.2140310002251,46.37904699984574
312,101498.svg,15359,30.87649999997666,87.4168379996263,535.9442459998718,20.707937000224774
313,93169.svg,29551,57.78489200019976,313.4741539997776,617.4006730002475,42.33754799997769
314,154257.svg,14480,27.005413000097178,35.344462000011845,536.1594510000032,22.317157000088628
315,114919.svg,23153,49.16025400007129,117.73655199976929,566.2766030000057,30.829482000171993
316,192666.svg,35336,16.700240999853122,35.5276169998433,532.9283289997875,6.741042000157904
317,71051.svg,38222,71.89407400028358,156.25051200004236,623.1096120000075,47.739478000039526
318,144767.svg,41701,443.12954599990917,238.1057590000637,671.4511239997591,68.17010300028414
319,106332.svg,37656,117.2327630001746,94.79882699997688,681.7885649998061,70.53901299968857
320,170571.svg,21854,79.5148719998906,0.7024730002740398,582.7129770000283,40.55476199982877
321,126132.svg,27162,49.37786299979052,59.21812899987344,582.1416110002247,39.359311000225716
322,49638.svg,11939,24.63947800015376,44.40395899973737,512.9497449997871,16.57405399964773
323,190220.svg,32639,56.2453520001327,363.07367500012333,607.8360569999859,49.82177900001261
324,17038.svg,24058,36.709051999878284,286.5505760000815,555.3473370000575,26.68279599993184
325,35747.svg,19882,33.09888500007219,137.62535600017145,549.5288320003056,21.566303000327025
326,53274.svg,28620,78.36941499999739,109.78023199959352,605.7058559999859,45.241305000217835
327,162048.svg,34798,143.60098600036508,96.62358199966548,719.2811030004123,86.98797099987132
328,91919.svg,20050,53.6971149999772,212.28369500022382,599.1122320001523,362.6124460001847
329,100093.svg,37512,74.82880899988231,128.56261300021288,662.8021910000825,60.39667799996096
330,21568.svg,37700,95.23848499975429,107.2534650002126,654.5676480000111,66.0267080002086
331,95720.svg,49928,96.20409200033464,186.85124300009193,663.915807000194,66.82493100015563
332,202329.svg,42535,140.27891100022316,274.7798949999378,655.8261269997274,61.79603999999017
333,160818.svg,15298,43.41314700013754,48.63780699997733,541.7790790002073,26.03890299997147
334,202071.svg,34681,78.88350400025956,30.22861399995236,586.6989930000273,45.89288699980898
335,195348.svg,17416,44.26434099968901,113.53498900007253,546.5688499998578,26.803162000305747
336,17941.svg,12495,18.825808000201505,59.077609999803826,514.6849880002264,12.158219999946596
337,188830.svg,47885,445.2274469999793,104.59948900006566,687.8413809999984,78.60050099998261
338,184278.svg,18433,110.60193399998752,153.67412900013733,614.8019839997687,52.96177100035493
339,71531.svg,35655,57.09102799983157,303.8883609997356,604.7936340000888,44.97880500002793
340,27605.svg,31133,67.35324800001763,133.69980800007397,595.6922509999458,44.54514899998685
341,187050.svg,21951,46.88541699988491,134.64916600014476,557.9972639998232,29.07142499998372
342,171523.svg,44310,137.56761300010112,142.87383700002465,707.7899329997308,80.77902400009407
343,36862.svg,47643,145.30320299991217,91.0618009997961,724.7623200000817,89.89239899983659
344,88259.svg,12130,19.356657000116684,174.7789589999229,833.9830730001268,13.398875999882875
345,152981.svg,45486,183.08582500003467,76.31955499982723,729.2775440000696,92.50178299998879
346,1563.svg,24312,43.43175199983307,75.15469000009034,570.9639170004266,33.533418999923015
347,95148.svg,25014,36.72317700011263,66.70443500024703,549.9714179995863,26.352633999977115
348,141917.svg,28046,100.65736400019887,167.84492899978432,614.2728370000441,49.74140600006649
349,11544.svg,47726,149.32339500001035,155.28748799988534,726.810507999744,89.16597000006732
350,10957.svg,36967,92.73710600018603,96.71328600006746,938.9384819996849,57.4039680000169
